config,query,kernel_total_ms,sync_total_ms,sync_per_kernel,h2d_bytes,kernel_gap_p50_us,kernel_gap_p95_us,top5_kernels
dec_region,1,257.39,768.59,2.986,668534,150.4,2492.5,cudf::groupby::detail::hash::<unnamed>::single_pass_shmem_ag|169740289|13;void cudf::groupby::detail::hash::mapping_indices_kernel<cuc|26120355|13;void cudf::strings::detail::fused_concatenate_string_offset_|9176670|78;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|8563780|113;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|7137670|24
dec_region,10,130.63,432.64,3.312,509480,150.9,1502.2,void cub::detail::for_each::static_kernel<cub::detail::for_e|15234666|24;void cub::detail::transform::transform_kernel<cub::detail::t|15058985|25;void cudf::groupby::detail::hash::mapping_indices_kernel<cuc|12095221|25;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|11155670|28;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|10401564|68
dec_region,11,9.04,8.7,0.963,40003,78.6,1132.1,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|3060469|4;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|1631898|4;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|1480604|12;void cub::detail::for_each::static_kernel<cub::detail::for_e|1379322|4;void cudf::groupby::detail::hash::mapping_indices_kernel<cuc|300574|4
dec_region,12,49.85,350.66,7.034,481706,184.3,3645.9,void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|8463646|57;void cub::detail::for_each::static_kernel<cub::detail::for_e|6805282|53;void cudf::strings::detail::fused_concatenate_string_offset_|5681708|34;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|4990958|3;void cub::detail::for_each::static_kernel<cub::detail::for_e|4450413|50
dec_region,13,90.07,233.32,2.59,74828,98.2,3341.1,void cub::detail::transform::transform_kernel<cub::detail::t|44525340|4;void cudf::strings::detail::gather_chars_fn_string_parallel<|13354574|4;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|10049979|1;void cuco::detail::open_addressing_ns::retrieve<(bool)1, (in|4158001|1;void cub::detail::for_each::static_kernel<cub::detail::for_e|3942641|1
dec_region,14,20.88,125.76,6.023,291383,328.6,791.1,void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|8878942|55;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|2894296|17;void cub::detail::for_each::static_kernel<cub::detail::for_e|1977400|8;void cub::detail::for_each::static_kernel<cub::detail::for_e|1277117|8;void cub::detail::for_each::static_kernel<cub::detail::for_e|1276058|8
dec_region,15,22.83,130.54,5.717,287736,200.6,896.3,void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|8621023|52;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|2856120|17;void cub::detail::for_each::static_kernel<cub::detail::for_e|2103159|9;void cub::detail::for_each::static_kernel<cub::detail::for_e|2001304|8;void cub::detail::for_each::static_kernel<cub::detail::for_e|1305819|8
dec_region,16,44.36,47.91,1.08,40073,23.3,554.2,void cub::detail::merge_sort::DeviceMergeSortBlockSortKernel|17839647|3;void cub::detail::merge_sort::DeviceMergeSortMergeKernel<cub|9874206|16;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|2814166|6;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|2529143|1;void cub::detail::merge_sort::DeviceMergeSortPartitionKernel|1833400|16
dec_region,17,79.69,192.05,2.41,370976,108.4,12437.6,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|42777827|12;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|19502938|12;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|15207783|71;void cub::detail::transform::transform_kernel<cub::detail::t|296319|46;void cudf::groupby::detail::hash::mapping_indices_kernel<cuc|240735|5
dec_region,18,110.82,729.83,6.585,375077,126.4,7375.3,void cub::detail::for_each::static_kernel<cub::detail::for_e|50702949|12;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|16158309|6;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|12874544|67;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|7473061|6;void cub::detail::transform::transform_kernel<cub::detail::t|6704807|48
dec_region,19,60.91,338.95,5.565,591605,100.9,2330.7,void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|12156567|24;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|9318596|161;void cudf::strings::detail::fused_concatenate_string_offset_|8779621|106;void cub::detail::transform::transform_kernel<cub::detail::t|5046607|105;void cub::detail::for_each::static_kernel<cub::detail::for_e|4839091|21
dec_region,2,14.71,15.87,1.079,80604,38.0,417.1,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|5173355|8;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|2617912|8;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|2428535|14;void cub::detail::merge_sort::DeviceMergeSortBlockSortKernel|1400186|2;void cub::detail::scan::DeviceScanKernel<cub::detail::scan::|383743|20
dec_region,20,34.32,162.45,4.733,326306,200.7,2072.6,void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|10080541|61;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|3703795|8;void cub::detail::merge_sort::DeviceMergeSortBlockSortKernel|3257524|2;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|2901297|17;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|2350135|8
dec_region,21,155.93,928.63,5.955,771357,579.4,8796.0,void cudf::detail::mixed_join<(bool)0>(cudf::table_device_vi|37905460|12;void cudf::detail::mixed_join_count<(bool)0>(cudf::table_dev|33237029|12;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|15746150|12;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|15149822|86;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|9281320|60
dec_region,22,14.17,10.41,0.735,33052,44.5,1452.0,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|5609547|2;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|3231380|2;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|1042941|5;void cuco::detail::open_addressing_ns::contains_if_n<(int)1,|761182|2;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|468190|2
dec_region,3,48.47,195.98,4.043,364869,162.0,3459.3,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|13147728|10;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|10312993|61;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|7390341|10;void cub::detail::transform::transform_kernel<cub::detail::t|4525551|45;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|3677007|22
dec_region,4,41.88,140.59,3.357,284383,300.3,6326.2,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|12160565|5;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|6973097|25;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|6860615|5;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|3889074|16;void cub::detail::transform::transform_kernel<cub::detail::t|1914713|13
dec_region,5,51.87,201.67,3.888,349209,148.1,4282.8,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|20804788|16;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|13147786|90;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|11392534|16;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|753790|3;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|661437|5
dec_region,6,29.67,212.66,7.166,283715,492.4,1966.1,void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|8613824|51;void cub::detail::for_each::static_kernel<cub::detail::for_e|7974186|36;void cub::detail::for_each::static_kernel<cub::detail::for_e|3092694|18;void cub::detail::for_each::static_kernel<cub::detail::for_e|3055059|18;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|2854390|17
dec_region,7,61.73,228.15,3.696,409751,178.9,2416.9,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|17786656|17;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|13095955|98;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|11215927|18;void cub::detail::transform::transform_kernel<cub::detail::t|3519634|47;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|2849074|23
dec_region,8,55.26,238.4,4.314,424265,289.9,5077.3,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|22394044|20;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|15002234|138;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|11902954|20;void cub::detail::transform::transform_kernel<cub::detail::t|1907895|85;void cudf::detail::<unnamed>::fused_concatenate_kernel<cuda:|718749|3
dec_region,9,108.17,521.46,4.821,544632,148.4,3782.6,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|37336692|35;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|23024682|35;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|16108195|234;void cudf::<unnamed>::copy_block_partitions<const long *, lo|5930472|133;void cub::detail::transform::transform_kernel<cub::detail::t|5589636|175
